"Court of Philanthropy",,34.0721681,-118.4435673
"Court of Sciences","617 Charles E Young Dr E, Los Angeles, CA 90095",34.0683494,-118.4422517
"Dickson Court North",,34.0726664,-118.4402231
"Dickson Court South",,34.0716777,-118.4402052
"Wilson Plaza",,34.0722311,-118.4442651
"Flagpole",,34.0721968,-118.4408979
"Founder's Rock",,34.0721365,-118.4378213
"Inverted Fountain",,34.0700765,-118.4407628
"Janss Steps",,34.0721839,-118.4431435
"Kinsey Science Teaching Pavilion","Portola Plaza Bldg, 460 Portola Plaza, Los Angeles, CA 90095",34.0701066,-118.4412542
"La Kretz Garden Pavilion","707 Tiverton Dr, Los Angeles, CA 90095",34.0665843,-118.4415215
"Marshall Field",,34.0719897,-118.4482644
"Mildred E. Matthias Botanical Garden","707 Tiverton Dr, Los Angeles, CA 90095",34.065561,-118.4411459
"Murphy Sculpture Garden","245 Charles E Young Dr E, Los Angeles, CA 90095",34.0751149,-118.4400683
"Shapiro Fountain","340 Royce Dr, Los Angeles, CA 90024",34.0721971,-118.4425548
"Spaulding Field","309 Westwood Plaza, Los Angeles, CA 90095",34.0694729,-118.4468853
"Schoenberg Music Building","445 Charles E. Young Dr E, Los Angeles, CA 90095",34.0706907,-118.4401321
"Anderson School of Management","110 Westwood Plaza, Los Angeles, CA 90095",34.0738084,-118.4436511
"Career Center","501 Westwood Plaza, Los Angeles, CA 90095",34.0685739,-118.4451727
"Counseling and Psychological Services (CAPS)","221 Westwood Plaza, Los Angeles, CA 90095",34.071321,-118.4460267
"College Academic Counseling","536 Hilgard Ave, Los Angeles, CA 90024",34.0716151,-118.438167
"Saffron & Rose Ice Cream","1387 Westwood Blvd, Los Angeles, CA 90024",34.0554393,-118.4420682
"Club California Apartments","10982 Roebling Ave, Los Angeles, CA 90024",34.064554,-118.4491211
"Alpha Chi Omega","638 Hilgard Avenue, Los Angeles, CA 90024",34.0684482,-118.4387173
"Alpha Delta Pi","808 Hilgard Avenue, Los Angeles, CA 90024",34.0661041,-118.4394182
"Alpha Phi","714 Hilgard Avenue, Los Angeles, CA 90024",34.0674889,-118.4387173
"Chi Omega","708 Hilgard Avenue, Los Angeles, CA 90024",34.0677178,-118.4387063
"Delta Delta Delta","862 Hilgard Avenue, Los Angeles, CA 90024",34.0649032,-118.4403372
"Delta Gamma","652 Hilgard Avenue, Los Angeles, CA 90024",34.0680912,-118.4387857
"Gamma Phi Beta","616 Hilgard Avenue, Los Angeles, CA 90024",34.0689864,-118.438706
"Kappa Alpha Theta","736 Hilgard Avenue, Los Angeles, CA 90024",34.0669404,-118.4389911
"Kappa Delta","800 Hilgard Avenue, Los Angeles, CA 90024",34.0662397,-118.4393688
"Kappa Kappa Gamma","744 Hilgard Avenue, Los Angeles, CA 90024",34.0666058,-118.4391047
"Pi Beta Phi","700 Hilgard Avenue, Los Angeles, CA 90024",34.0678898,-118.4387772
"Alpha Epsilon Pi","645 Landfair Avenue, Los Angeles, CA 90024",34.0661255,-118.4488096
"Alpha Gamma Omega","515 Landfair Avenue, Los Angeles, CA 90024",34.068014,-118.4508259
"Beta Theta Pi","581 Gayley Avenue, Los Angeles, CA 90024",34.068537,-118.4493865
"Delta Sigma Phi","620 Landfair Avenue, Los Angeles, CA 90024",34.0670276,-118.4488707
"Delta Tau Delta","649 Gayley Avenue, Los Angeles, CA 90024",34.066745,-118.4480534
"Lambda Chi Alpha","10918 Strathmore Drive, Los Angeles, CA 90024",34.067828,-118.4491706
"Phi Delta Theta","638 Landfair Avenue, Los Angeles, CA 90024",34.0665905,-118.4484139
"Pi Kappa Alpha","555 Gayley Avenue, Los Angeles, CA 90024",34.0688857,-118.4499543
"Pi Kappa Phi","626 Landfair Avenue, Los Angeles, CA 90024",34.0668564,-118.4487254
"Sigma Alpha Epsilon","655 Gayley Avenue, Los Angeles, CA 90024",34.0665866,-118.44784
"Sigma Chi","459 Gayley Avenue, Los Angeles, CA 90024",34.0703832,-118.4524757
"Sigma Nu","601 Gayley Avenue, Los Angeles, CA 90024",34.0680959,-118.4489909
"Sigma Phi Epsilon","522 Landfair Avenue, Los Angeles, CA 90024",34.068188,-118.4502985
"Sigma Pi","612 Landfair Avenue, Los Angeles, CA 90024",34.0672189,-118.4490437
"Theta Chi","663 Gayley Avenue, Los Angeles, CA 90024",34.0663657,-118.4478218
"Theta Delta Chi","547 Gayley Avenue, Los Angeles, CA 90024",34.0689409,-118.4501934
"Theta Xi","629 Gayley Avenue, Los Angeles, CA 90024",34.0674716,-118.4486751
"Triangle","519 Landfair Avenue, Los Angeles, CA 90024",34.0678443,-118.4506818
"Zeta Beta Tau","10924 Strathmore Drive, Los Angeles, CA 90024",34.0676665,-118.4492799
"Ackerman Student Union","308 Westwood Plaza, Los Angeles, CA 90024",34.0703779,-118.4442056
"Acosta Training Center","410 Charles E. Young Dr. West, Los Angeles, CA 90024",34.0704747,-118.4476299
"Ashe Student Health Center","221 Westwood Plaza, Los Angeles, CA 90024",34.0714006,-118.4447485
"Biomedical Cyclotron","780 Westwood Plaza, Los Angeles, CA 90024",34.0657422,-118.4439789
"Biomedical Sciences Research Building (BSRB)","615 Charles E. Young Dr. South, Los Angeles, CA 90024",34.06739,-118.441203
"Boelter Hall (Engineering II & III)","580 Portola Plaza, Los Angeles, CA 90024",34.0692388,-118.4432392
"Boyer Hall","611 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0680878,-118.4416559
"Brain Mapping","660 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0667788,-118.4443802
"Brain Research Institute (BRI)","670 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0673111,-118.4448319
"Broad Art Center","240 Charles E. Young Dr. North, Los Angeles, CA 90024",34.075885,-118.4409969
"Broxton Plaza","911 S. Broxton, Los Angeles, CA 90024",34.0634121,-118.4473088
"Bunche Hall","315 Portola Plaza, Los Angeles, CA 90024",34.0742532,-118.4401193
"Campbell Hall","335 Portola Plaza, Los Angeles, CA 90024",34.0736573,-118.441329
"Capital Programs Building","1060 Veteran Ave., Los Angeles, CA 90024",34.0602193,-118.4484851
"Center for Health Sciences & World Health","10833 Le Conte Ave., Los Angeles, CA 90024",34.066747,-118.44224
"Community Health Sciences (CHS) Building","630 Charles E Young Dr S, Los Angeles, CA 90095",34.0667358,-118.4437698
"School of Nursing","700 Tiverton Ave., Los Angeles, CA 90024",34.066771,-118.441982
"California NanoSystems Institute (CNSI) Building","570 Westwood Plaza, Los Angeles, CA 90024",34.0680384,-118.4429551
"Court of Sciences Student Center","617 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0683494,-118.4422517
"David Geuen School of Medicine","10833 Le Conte Ave., Los Angeles, CA 90024",34.065894,-118.443361
"School of Dentistry","714 Tiverton Ave., Los Angeles, CA 90024",34.066336,-118.4419807
